Position,AY.132_50%_and_AY.63_50%_position_base_counts.csv_Total_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_A_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_C_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_G_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_T_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_A_proportion,AY.132_50%_and_AY.63_50%_position_base_counts.csv_C_proportion,AY.132_50%_and_AY.63_50%_position_base_counts.csv_G_proportion,AY.132_50%_and_AY.63_50%_position_base_counts.csv_T_proportion,AY.132_80%_and_AY.63_20%_position_base_counts.csv_Total_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_A_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_C_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_G_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_T_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_A_proportion,AY.132_80%_and_AY.63_20%_position_base_counts.csv_C_proportion,AY.132_80%_and_AY.63_20%_position_base_counts.csv_G_proportion,AY.132_80%_and_AY.63_20%_position_base_counts.csv_T_proportion,AY.132_90%_and_AY.63_10%_position_base_counts.csv_Total_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_A_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_C_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_G_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_T_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_A_proportion,AY.132_90%_and_AY.63_10%_position_base_counts.csv_C_proportion,AY.132_90%_and_AY.63_10%_position_base_counts.csv_G_proportion,AY.132_90%_and_AY.63_10%_position_base_counts.csv_T_proportion,AY.132_95%_and_AY.63_5%_position_base_counts.csv_Total_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_A_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_C_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_G_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_T_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_A_proportion,AY.132_95%_and_AY.63_5%_position_base_counts.csv_C_proportion,AY.132_95%_and_AY.63_5%_position_base_counts.csv_G_proportion,AY.132_95%_and_AY.63_5%_position_base_counts.csv_T_proportion,AY.132_98%_and_AY.63_2%_position_base_counts.csv_Total_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_A_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_C_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_G_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_T_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_A_proportion,AY.132_98%_and_AY.63_2%_position_base_counts.csv_C_proportion,AY.132_98%_and_AY.63_2%_position_base_counts.csv_G_proportion,AY.132_98%_and_AY.63_2%_position_base_counts.csv_T_proportion
23604,3741.0,31,37,3632,41,0.0082865543972199,0.0098904036353916,0.970863405506549,0.0109596364608393,3787.0,38,30,3700,19,0.0100343279640876,0.007921837866385,0.9770266701874836,0.0050171639820438,3794.0,29,38,3703,24,0.00764364786505,0.0100158144438587,0.9760147601476016,0.0063257775434897,3817.0,35,37,3715,30,0.0091695048467382,0.0096934765522661,0.9732774430180772,0.0078595755829185,3819.0,31,45,3708,35,0.0081173081958627,0.011783189316575,0.9709347996857816,0.0091647028017805
23683,3842.0,35,1924,39,1844,0.0091098386257157,0.5007808433107757,0.0101509630400832,0.4799583550234253,3771.0,35,777,33,2926,0.009281357730045,0.2060461416070008,0.0087509944311853,0.7759215062317688,3726.0,35,386,37,3268,0.0093934514224369,0.1035963499731615,0.0099302200751476,0.8770799785292539,3760.0,30,168,28,3534,0.0079787234042553,0.0446808510638297,0.0074468085106382,0.9398936170212766,3825.0,24,69,43,3689,0.0062745098039215,0.0180392156862745,0.0112418300653594,0.9644444444444444
23848,3645.0,1830,37,1737,41,0.5020576131687243,0.0101508916323731,0.4765432098765432,0.0112482853223593,3720.0,2970,27,692,31,0.7983870967741935,0.007258064516129,0.1860215053763441,0.0083333333333333,3701.0,3300,34,334,33,0.8916509051607674,0.0091867062955957,0.0902458794920291,0.0089165090516076,3712.0,3469,29,186,28,0.9345366379310344,0.0078125,0.0501077586206896,0.0075431034482758,3762.0,3645,17,70,30,0.9688995215311004,0.0045188729399255,0.0186071238702817,0.0079744816586921
24410,3375.0,3287,22,41,25,0.973925925925926,0.0065185185185185,0.0121481481481481,0.0074074074074074,3435.0,3341,31,39,24,0.9726346433770016,0.0090247452692867,0.011353711790393,0.0069868995633187,3406.0,3316,27,32,31,0.9735760422783324,0.0079271873165002,0.009395184967704,0.0091015854374633,3486.0,3397,27,35,27,0.974469305794607,0.0077452667814113,0.0100401606425702,0.0077452667814113,3394.0,3287,38,36,33,0.9684737772539777,0.0111962286387743,0.0106069534472598,0.0097230406599882
25469,3074.0,18,32,26,2998,0.0058555627846454,0.0104098893949251,0.0084580351333767,0.9752765126870528,2927.0,31,35,19,2842,0.0105910488554834,0.011957635804578,0.0064912880081995,0.970960027331739,2908.0,32,38,24,2814,0.0110041265474552,0.0130674002751031,0.0082530949105914,0.96767537826685,2961.0,22,45,18,2876,0.0074299223235393,0.0151975683890577,0.0060790273556231,0.9712934819317798,2916.0,21,30,15,2850,0.0072016460905349,0.0102880658436214,0.0051440329218107,0.977366255144033
25710,3217.0,33,40,15,3129,0.0102580043518806,0.0124339446689462,0.0046627292508548,0.9726453217283184,3247.0,21,29,32,3165,0.0064675084693563,0.0089313212195873,0.0098552510009239,0.9747459193101324,3160.0,33,47,17,3063,0.0104430379746835,0.0148734177215189,0.005379746835443,0.9693037974683544,3248.0,23,38,26,3161,0.0070812807881773,0.0116995073891625,0.0080049261083743,0.9732142857142856,3205.0,26,34,21,3124,0.0081123244929797,0.0106084243369734,0.0065522620904836,0.9747269890795632
25855,3251.0,45,29,1636,1541,0.0138418948015995,0.0089203322054752,0.5032297754537065,0.4740079975392187,3205.0,26,23,649,2507,0.0081123244929797,0.007176287051482,0.2024960998439937,0.7822152886115444,3302.0,23,21,332,2926,0.0069654754694124,0.0063597819503331,0.1005451241671714,0.886129618413083,3221.0,28,23,163,3007,0.0086929524992238,0.0071406395529338,0.050605402049053,0.9335610058987892,3237.0,21,21,67,3128,0.0064874884151992,0.0064874884151992,0.0206981773246833,0.966326845844918
26767,3331.0,23,3246,23,39,0.0069048333833683,0.9744821374962472,0.0069048333833683,0.0117081957370159,3349.0,30,3240,37,42,0.0089578978799641,0.96745297103613,0.0110480740519558,0.0125410570319498,3358.0,23,3278,15,42,0.0068493150684931,0.9761762954139368,0.0044669446098868,0.0125074449076831,3364.0,29,3267,28,40,0.0086206896551724,0.9711652794292508,0.0083234244946492,0.0118906064209274,3263.0,21,3190,25,27,0.0064357952804167,0.9776279497395036,0.0076616610481152,0.0082745939319644
26814,3434.0,17,30,1706,1681,0.0049504950495049,0.0087361677344205,0.4967967384973791,0.4895165987186954,3462.0,24,30,2741,667,0.0069324090121317,0.0086655112651646,0.7917388792605431,0.1926632004621606,3435.0,31,26,3027,351,0.0090247452692867,0.0075691411935953,0.8812227074235808,0.1021834061135371,3462.0,22,28,3253,159,0.0063547082611207,0.0080878105141536,0.939630271519353,0.0459272097053726,3465.0,33,17,3361,54,0.0095238095238095,0.0049062049062049,0.96998556998557,0.0155844155844155
27131,3618.0,28,1806,27,1757,0.007739082365948,0.4991708126036484,0.0074626865671641,0.4856274184632393,3556.0,32,743,47,2734,0.0089988751406074,0.2089426321709786,0.0132170978627671,0.7688413948256468,3525.0,37,349,31,3108,0.0104964539007092,0.0990070921985815,0.0087943262411347,0.8817021276595745,3539.0,29,172,35,3303,0.0081944051992088,0.048601299802204,0.0098897993783554,0.9333144956202316,3537.0,20,70,28,3419,0.0056545094713033,0.0197907831495617,0.0079163132598247,0.9666383941193102
27561,3287.0,30,32,1682,1543,0.0091268634012777,0.0097353209613629,0.5117128080316398,0.4694250076057195,3369.0,32,28,2670,639,0.0094983674680914,0.0083110715345799,0.792520035618878,0.1896705253784505,3336.0,15,24,3008,289,0.0044964028776978,0.0071942446043165,0.9016786570743404,0.086630695443645,3289.0,29,27,3083,150,0.0088172696868349,0.0082091821222256,0.9373669808452416,0.0456065673456977,3401.0,30,27,3292,52,0.008820935019112,0.0079388415172008,0.967950602763893,0.0152896206997941
27638,3019.0,34,2926,32,27,0.0112620072871811,0.969195097714475,0.0105995362702881,0.0089433587280556,2993.0,32,2904,32,25,0.0106916137654527,0.9702639492148346,0.0106916137654527,0.0083528232542599,2922.0,29,2835,28,30,0.0099247091033538,0.9702258726899384,0.0095824777549623,0.0102669404517453,2966.0,26,2871,33,36,0.0087660148347943,0.9679703304113284,0.0111260957518543,0.0121375590020229,2987.0,27,2909,24,27,0.0090391697355205,0.9738868429862738,0.0080348175426849,0.0090391697355205
27752,3077.0,32,51,22,2972,0.0103997400064998,0.0165745856353591,0.0071498212544686,0.9658758531036724,3027.0,26,34,31,2936,0.0085893624050214,0.011232243145028,0.0102411628675256,0.9699372315824248,3155.0,21,38,29,3067,0.0066561014263074,0.0120443740095087,0.0091917591125198,0.972107765451664,3091.0,29,21,27,3014,0.0093820769977353,0.0067939178259462,0.008735037204788,0.9750889679715302,3066.0,33,27,32,2974,0.0107632093933463,0.0088062622309197,0.0104370515329419,0.969993476842792
27870,2895.0,16,30,1522,1327,0.0055267702936096,0.0103626943005181,0.52573402417962,0.4583765112262521,2793.0,17,25,576,2175,0.0060866451843895,0.0089509488005728,0.2062298603651987,0.7787325456498388,2812.0,17,19,308,2468,0.0060455192034139,0.0067567567567567,0.1095305832147937,0.8776671408250356,2735.0,22,20,153,2540,0.0080438756855575,0.0073126142595978,0.0559414990859232,0.9287020109689214,2739.0,20,18,47,2654,0.0073019350127783,0.0065717415115005,0.0171595472800292,0.9689667761956918
27874,2907.0,21,1540,33,1313,0.0072239422084623,0.5297557619539044,0.0113519091847265,0.4516683866529067,2797.0,12,596,18,2171,0.0042903110475509,0.2130854486950303,0.0064354665713264,0.7761887736860923,2798.0,15,293,17,2473,0.0053609721229449,0.1047176554681915,0.0060757684060042,0.8838456040028592,2747.0,22,161,29,2535,0.0080087368037859,0.0586093920640698,0.0105569712413542,0.92282489989079,2739.0,16,60,20,2643,0.0058415480102227,0.0219058050383351,0.0073019350127783,0.9649507119386638
27881,2964.0,1346,1562,29,27,0.4541160593792173,0.5269905533063428,0.0097840755735492,0.0091093117408906,2888.0,2242,600,21,25,0.7763157894736842,0.2077562326869806,0.0072714681440443,0.0086565096952908,2878.0,2529,300,19,30,0.878735232800556,0.1042390548992355,0.0066018068102849,0.0104239054899235,2834.0,2636,153,23,22,0.9301340860973888,0.0539872971065631,0.0081157374735356,0.0077628793225123,2830.0,2721,57,29,23,0.9614840989399294,0.0201413427561837,0.0102473498233215,0.0081272084805653
28461,2593.0,25,13,2539,16,0.0096413420748168,0.0050134978789047,0.9791747011183956,0.0061704589278827,2573.0,20,22,2511,20,0.0077730275942479,0.0085503303536727,0.9759036144578314,0.0077730275942479,2571.0,27,32,2492,20,0.0105017502917152,0.0124465188642551,0.96927265655387,0.0077790742901594,2565.0,29,21,2489,26,0.0113060428849902,0.0081871345029239,0.9703703703703704,0.0101364522417154,2502.0,31,14,2440,17,0.0123900879296562,0.005595523581135,0.9752198241406874,0.0067945643485211
28881,1777.0,14,10,18,1735,0.0078784468204839,0.0056274620146314,0.0101294316263365,0.976364659538548,1810.0,12,17,26,1755,0.0066298342541436,0.0093922651933701,0.0143646408839779,0.9696132596685084,1831.0,13,20,22,1776,0.0070999453850355,0.0109229929000546,0.01201529219006,0.9699617695248498,1893.0,18,15,17,1843,0.0095087163232963,0.0079239302694136,0.0089804543053354,0.9735868991019546,1747.0,13,13,14,1707,0.0074413279908414,0.0074413279908414,0.0080137378362907,0.9771036061820264
28916,1821.0,17,16,922,866,0.0093355299286106,0.0087863811092806,0.5063152114222954,0.4755628775398133,1840.0,14,15,381,1430,0.0076086956521739,0.0081521739130434,0.2070652173913043,0.7771739130434783,1825.0,15,12,200,1598,0.0082191780821917,0.0065753424657534,0.1095890410958904,0.8756164383561644,1811.0,18,12,94,1687,0.0099392600773053,0.0066261733848702,0.0519050248481501,0.9315295416896742,1733.0,11,20,41,1661,0.0063473744950952,0.0115406809001731,0.0236583958453548,0.9584535487593768
29402,528.0,7,10,6,505,0.0132575757575757,0.0189393939393939,0.0113636363636363,0.956439393939394,469.0,4,4,6,455,0.0085287846481876,0.0085287846481876,0.0127931769722814,0.9701492537313432,482.0,5,2,6,469,0.0103734439834024,0.0041493775933609,0.0124481327800829,0.9730290456431536,532.0,7,7,0,518,0.0131578947368421,0.0131578947368421,0.0,0.9736842105263158,459.0,2,5,4,448,0.0043572984749455,0.0108932461873638,0.008714596949891,0.9760348583877996
29616,316.0,2,2,163,149,0.0063291139240506,0.0063291139240506,0.5158227848101266,0.4715189873417721,315.0,4,4,238,69,0.0126984126984126,0.0126984126984126,0.7555555555555555,0.219047619047619,338.0,5,2,302,29,0.014792899408284,0.0059171597633136,0.893491124260355,0.0857988165680473,305.0,2,3,283,17,0.0065573770491803,0.0098360655737704,0.9278688524590164,0.0557377049180327,332.0,4,5,314,9,0.0120481927710843,0.0150602409638554,0.9457831325301204,0.0271084337349397
