Position,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_Total_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_A_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_C_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_G_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_T_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_A_proportion,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_C_proportion,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_G_proportion,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_T_proportion,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_Total_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_A_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_C_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_G_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_T_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_A_proportion,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_C_proportion,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_G_proportion,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_T_proportion,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_Total_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_A_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_C_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_G_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_T_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_A_proportion,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_C_proportion,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_G_proportion,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_T_proportion,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_Total_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_A_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_C_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_G_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_T_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_A_proportion,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_C_proportion,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_G_proportion,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_T_proportion,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_Total_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_A_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_C_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_G_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_T_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_A_proportion,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_C_proportion,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_G_proportion,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_T_proportion
22686,1261.0,11,59,8,1183,0.0087232355273592,0.0467882632831086,0.0063441712926249,0.9381443298969072,536.0,2,93,5,436,0.003731343283582,0.1735074626865671,0.0093283582089552,0.8134328358208955,359.0,1,103,6,249,0.0027855153203342,0.2869080779944289,0.0167130919220055,0.6935933147632312,228.0,1,108,2,117,0.0043859649122807,0.4736842105263157,0.0087719298245614,0.5131578947368421,134.0,2,108,0,24,0.0149253731343283,0.8059701492537313,0.0,0.1791044776119403
22688,1264.0,52,7,1198,7,0.0411392405063291,0.0055379746835443,0.9477848101265824,0.0055379746835443,536.0,92,1,440,3,0.1716417910447761,0.001865671641791,0.8208955223880597,0.0055970149253731,358.0,100,1,252,5,0.2793296089385474,0.0027932960893854,0.7039106145251397,0.0139664804469273,228.0,111,0,115,2,0.4868421052631579,0.0,0.5043859649122807,0.0087719298245614,135.0,106,3,24,2,0.7851851851851852,0.0222222222222222,0.1777777777777777,0.0148148148148148
22775,1363.0,1286,12,56,9,0.9435069699192956,0.0088041085840058,0.041085840058694,0.0066030814380044,626.0,513,6,106,1,0.8194888178913738,0.0095846645367412,0.1693290734824281,0.0015974440894568,389.0,270,3,109,7,0.6940874035989717,0.0077120822622107,0.2802056555269923,0.0179948586118251,240.0,125,1,113,1,0.5208333333333334,0.0041666666666666,0.4708333333333333,0.0041666666666666,153.0,38,0,112,3,0.2483660130718954,0.0,0.7320261437908496,0.0196078431372549
22786,1370.0,58,1289,13,10,0.0423357664233576,0.9408759124087592,0.0094890510948905,0.0072992700729927,629.0,99,522,2,6,0.1573926868044515,0.8298887122416534,0.0031796502384737,0.0095389507154213,369.0,105,258,3,3,0.2845528455284553,0.6991869918699187,0.008130081300813,0.008130081300813,220.0,107,112,0,1,0.4863636363636364,0.509090909090909,0.0,0.0045454545454545,156.0,113,38,2,3,0.7243589743589743,0.2435897435897435,0.0128205128205128,0.0192307692307692
22813,1529.0,22,20,168,1319,0.014388489208633,0.0130804447351209,0.1098757357750163,0.8626553302812295,813.0,8,14,257,534,0.009840098400984,0.017220172201722,0.3161131611316113,0.6568265682656826,577.0,11,11,291,264,0.0190641247833622,0.0190641247833622,0.5043327556325823,0.4575389948006932,421.0,6,5,294,116,0.014251781472684,0.01187648456057,0.6983372921615202,0.2755344418052256,359.0,1,12,301,45,0.0027855153203342,0.0334261838440111,0.8384401114206128,0.1253481894150417
22882,1828.0,14,12,1390,412,0.0076586433260393,0.0065645514223194,0.7603938730853391,0.2253829321663019,1158.0,12,10,516,620,0.0103626943005181,0.0086355785837651,0.4455958549222797,0.5354058721934369,1008.0,6,10,252,740,0.0059523809523809,0.0099206349206349,0.25,0.7341269841269841,863.0,8,6,115,734,0.0092699884125144,0.0069524913093858,0.1332560834298957,0.8505214368482039,808.0,9,8,34,757,0.0111386138613861,0.0099009900990099,0.042079207920792,0.936881188118812
22917,1947.0,12,14,501,1420,0.0061633281972265,0.0071905495634309,0.2573189522342065,0.7293271700051361,1322.0,16,12,728,566,0.0121028744326777,0.0090771558245083,0.5506807866868382,0.4281391830559758,1143.0,9,7,870,257,0.0078740157480314,0.0061242344706911,0.7611548556430446,0.2248468941382327,1040.0,6,6,901,127,0.0057692307692307,0.0057692307692307,0.8663461538461539,0.1221153846153846,979.0,8,8,933,30,0.0081716036772216,0.0081716036772216,0.9530132788559756,0.0306435137895812
22992,1725.0,1246,10,450,19,0.7223188405797102,0.0057971014492753,0.2608695652173913,0.0110144927536231,1227.0,531,14,675,7,0.432762836185819,0.0114099429502852,0.5501222493887531,0.0057049714751426,1004.0,264,7,727,6,0.2629482071713147,0.0069721115537848,0.7241035856573705,0.0059760956175298,893.0,115,5,764,9,0.1287793952967525,0.005599104143337,0.8555431131019037,0.0100783874580067,909.0,33,10,861,5,0.0363036303630363,0.011001100110011,0.9471947194719472,0.0055005500550055
22995,1732.0,1694,12,10,16,0.9780600461893764,0.0069284064665127,0.0057736720554272,0.0092378752886836,1230.0,1189,20,9,12,0.9666666666666668,0.016260162601626,0.0073170731707317,0.0097560975609756,1002.0,965,14,14,9,0.9630738522954092,0.0139720558882235,0.0139720558882235,0.0089820359281437,891.0,865,14,9,3,0.9708193041526376,0.015712682379349,0.0101010101010101,0.0033670033670033,887.0,860,8,12,7,0.9695603156708004,0.0090191657271702,0.0135287485907553,0.0078917700112739
23013,1785.0,456,1280,28,21,0.2554621848739495,0.7170868347338936,0.0156862745098039,0.0117647058823529,1301.0,698,573,16,14,0.536510376633359,0.4404304381245196,0.0122982321291314,0.01076095311299,1038.0,746,272,8,12,0.7186897880539499,0.2620423892100192,0.0077071290944123,0.0115606936416184,928.0,803,113,6,6,0.865301724137931,0.1217672413793103,0.0064655172413793,0.0064655172413793,929.0,884,33,9,3,0.9515608180839612,0.0355220667384284,0.0096878363832077,0.0032292787944025
23040,1783.0,457,21,1292,13,0.256309590577678,0.0117779024116657,0.7246214245653393,0.0072910824453168,1248.0,677,9,551,11,0.5424679487179487,0.0072115384615384,0.4415064102564102,0.0088141025641025,1052.0,761,11,270,10,0.723384030418251,0.0104562737642585,0.2566539923954372,0.0095057034220532,949.0,813,8,122,6,0.8566912539515279,0.0084299262381454,0.1285563751317176,0.006322444678609,915.0,863,6,36,10,0.9431693989071038,0.0065573770491803,0.0393442622950819,0.0109289617486338
23055,1803.0,463,21,1300,19,0.2567942318358291,0.0116472545757071,0.7210205213533001,0.0105379922351636,1216.0,661,15,533,7,0.5435855263157895,0.0123355263157894,0.4383223684210526,0.0057565789473684,1038.0,745,11,265,17,0.7177263969171483,0.0105973025048169,0.2552986512524084,0.0163776493256262,934.0,801,10,118,5,0.8576017130620985,0.0107066381156316,0.1263383297644539,0.0053533190578158,898.0,848,7,35,8,0.9443207126948776,0.0077951002227171,0.0389755011135857,0.0089086859688195
23063,1863.0,472,10,19,1362,0.2533548040794418,0.0053676865271068,0.0101986044015029,0.7310789049919485,1254.0,678,11,6,559,0.5406698564593302,0.0087719298245614,0.0047846889952153,0.4457735247208931,1050.0,751,6,8,285,0.7152380952380952,0.0057142857142857,0.0076190476190476,0.2714285714285714,937.0,793,6,7,131,0.8463180362860192,0.0064034151547491,0.007470651013874,0.1398078975453575,903.0,849,13,7,34,0.9401993355481728,0.0143964562569213,0.0077519379844961,0.0376522702104097
23075,1900.0,11,1396,19,474,0.0057894736842105,0.7347368421052631,0.01,0.2494736842105263,1255.0,4,572,12,667,0.0031872509960159,0.4557768924302788,0.0095617529880478,0.5314741035856574,1043.0,9,296,6,732,0.0086289549376797,0.2837967401725791,0.0057526366251198,0.7018216682646213,937.0,11,123,10,793,0.0117395944503735,0.1312700106723585,0.0106723585912486,0.8463180362860192,905.0,10,40,4,851,0.011049723756906,0.0441988950276243,0.0044198895027624,0.9403314917127072
23403,1685.0,16,15,1639,15,0.0094955489614243,0.0089020771513353,0.9727002967359052,0.0089020771513353,1067.0,7,6,1049,5,0.0065604498594189,0.0056232427366447,0.9831302717900656,0.0046860356138706,889.0,1,6,879,3,0.0011248593925759,0.0067491563554555,0.9887514060742408,0.0033745781777277,739.0,3,1,735,0,0.0040595399188092,0.0013531799729364,0.9945872801082544,0.0,666.0,4,1,659,2,0.006006006006006,0.0015015015015015,0.9894894894894894,0.003003003003003
23525,1631.0,11,453,18,1149,0.0067443286327406,0.2777437155119558,0.0110361741263028,0.7044757817290006,1226.0,10,691,10,515,0.0081566068515497,0.5636215334420881,0.0081566068515497,0.4200652528548124,992.0,14,743,4,231,0.0141129032258064,0.748991935483871,0.0040322580645161,0.2328629032258064,934.0,10,808,10,106,0.0107066381156316,0.8650963597430407,0.0107066381156316,0.1134903640256959,911.0,10,857,6,38,0.0109769484083424,0.9407244785949506,0.0065861690450054,0.0417124039517014
23599,1823.0,20,9,1149,645,0.0109709270433351,0.0049369171695008,0.6302797586396051,0.3538123971475589,1526.0,20,22,517,967,0.0131061598951507,0.0144167758846657,0.3387942332896461,0.6336828309305373,1386.0,16,20,245,1105,0.0115440115440115,0.0144300144300144,0.1767676767676767,0.7972582972582972,1319.0,17,15,103,1184,0.0128885519332827,0.0113722517058377,0.0780894617134192,0.8976497346474602,1301.0,11,16,43,1231,0.0084550345887778,0.0122982321291314,0.0330514988470407,0.94619523443505
23604,1802.0,1119,22,649,12,0.6209766925638179,0.0122086570477247,0.3601553829078801,0.0066592674805771,1518.0,509,29,961,19,0.3353096179183136,0.0191040843214756,0.6330698287220027,0.0125164690382081,1396.0,271,20,1090,15,0.1941260744985673,0.0143266475644699,0.7808022922636103,0.0107449856733524,1314.0,110,14,1173,17,0.0837138508371385,0.0106544901065449,0.8926940639269406,0.0129375951293759,1310.0,44,20,1225,21,0.0335877862595419,0.015267175572519,0.9351145038167938,0.016030534351145
23854,1361.0,1321,14,15,11,0.97060984570169,0.0102865540044085,0.0110213078618662,0.0080822924320352,539.0,523,7,5,4,0.9703153988868276,0.0129870129870129,0.0092764378478664,0.0074211502782931,257.0,252,2,0,3,0.980544747081712,0.0077821011673151,0.0,0.0116731517509727,128.0,123,3,2,0,0.9609375,0.0234375,0.015625,0.0,31.0,31,0,0,0,1.0,0.0,0.0,0.0
23948,1405.0,9,10,11,1375,0.0064056939501779,0.0071174377224199,0.0078291814946619,0.9786476868327402,568.0,7,7,5,549,0.0123239436619718,0.0123239436619718,0.0088028169014084,0.966549295774648,287.0,3,6,4,274,0.0104529616724738,0.0209059233449477,0.0139372822299651,0.9547038327526132,120.0,2,0,1,117,0.0166666666666666,0.0,0.0083333333333333,0.975,28.0,0,0,1,27,0.0,0.0,0.0357142857142857,0.9642857142857144
24410,2024.0,540,24,1442,18,0.266798418972332,0.0118577075098814,0.7124505928853755,0.008893280632411,1540.0,955,14,560,11,0.6201298701298701,0.009090909090909,0.3636363636363636,0.0071428571428571,1325.0,1009,13,294,9,0.7615094339622641,0.0098113207547169,0.2218867924528302,0.0067924528301886,1259.0,1100,12,136,11,0.8737092930897538,0.0095313741064336,0.108022239872915,0.0087370929308975,1213.0,1148,12,40,13,0.94641384995878,0.0098928276999175,0.0329760923330585,0.010717230008244
24424,1985.0,554,23,11,1397,0.2790931989924433,0.0115869017632241,0.0055415617128463,0.7037783375314861,1539.0,958,13,14,554,0.622482131254061,0.0084470435347628,0.0090968161143599,0.3599740090968161,1321.0,1023,8,10,280,0.7744133232399697,0.0060560181680545,0.0075700227100681,0.2119606358819076,1277.0,1127,9,12,129,0.8825371965544244,0.0070477682067345,0.009397024275646,0.1010180109631949,1208.0,1145,9,12,42,0.9478476821192052,0.0074503311258278,0.009933774834437,0.0347682119205298
24469,1972.0,1436,15,13,508,0.7281947261663286,0.0076064908722109,0.0065922920892494,0.2576064908722109,1471.0,575,15,16,865,0.3908905506458192,0.0101971447994561,0.0108769544527532,0.5880353501019715,1239.0,269,15,16,939,0.2171105730427764,0.0121065375302663,0.0129136400322841,0.7578692493946732,1225.0,141,7,9,1068,0.1151020408163265,0.0057142857142857,0.0073469387755102,0.8718367346938776,1122.0,37,11,9,1065,0.0329768270944741,0.0098039215686274,0.0080213903743315,0.9491978609625668
24863,2708.0,29,1503,25,1151,0.0107090103397341,0.5550221565731167,0.009231905465288,0.4250369276218611,2447.0,20,573,23,1831,0.008173273395995,0.2341642827952595,0.0093992644053943,0.7482631794033511,2432.0,17,312,19,2084,0.0069901315789473,0.1282894736842105,0.0078125,0.8569078947368421,2342.0,19,137,25,2161,0.0081127241673783,0.0584970111016225,0.0106746370623398,0.9227156276686592,2347.0,20,49,32,2246,0.0085215168299957,0.0208777162334895,0.0136344269279931,0.9569663400085217
25000,2643.0,24,1127,25,1467,0.0090805902383654,0.4264093832765796,0.009458948164964,0.5550510783200908,2487.0,32,1845,20,590,0.0128669079211901,0.7418576598311218,0.0080418174507438,0.2372336147969441,2424.0,17,2099,19,289,0.007013201320132,0.865924092409241,0.0078382838283828,0.1192244224422442,2469.0,17,2287,12,153,0.0068853786958282,0.926285945727015,0.0048602673147023,0.0619684082624544,2390.0,12,2294,30,54,0.005020920502092,0.9598326359832636,0.0125523012552301,0.0225941422594142
25469,2581.0,20,1353,18,1190,0.0077489345215032,0.5242154203796978,0.0069740410693529,0.4610616040294459,2471.0,18,544,17,1892,0.0072845002023472,0.2201537838931606,0.0068798057466612,0.7656819101578308,2425.0,22,296,16,2091,0.0090721649484536,0.1220618556701031,0.0065979381443298,0.8622680412371134,2433.0,28,117,24,2264,0.011508425811755,0.0480887792848335,0.0098643649815043,0.9305384299219072,2404.0,24,43,18,2319,0.0099833610648918,0.0178868552412645,0.0074875207986688,0.9646422628951749
25584,2585.0,20,1290,21,1254,0.0077369439071566,0.4990328820116054,0.0081237911025145,0.4851063829787234,2576.0,25,2017,26,508,0.0097049689440993,0.7829968944099379,0.0100931677018633,0.1972049689440994,2547.0,18,2246,22,261,0.0070671378091872,0.8818217510797016,0.0086376128778955,0.1024734982332155,2564.0,26,2402,17,119,0.0101404056162246,0.936817472698908,0.0066302652106084,0.0464118564742589,2548.0,25,2441,27,55,0.009811616954474,0.9580062794348508,0.010596546310832,0.021585557299843
25810,2415.0,24,1306,28,1057,0.0099378881987577,0.5407867494824017,0.0115942028985507,0.4376811594202898,2510.0,21,2003,21,465,0.0083665338645418,0.7980079681274901,0.0083665338645418,0.1852589641434263,2587.0,21,2322,21,223,0.0081175106300734,0.897564746810978,0.0081175106300734,0.0862002319288751,2530.0,26,2355,21,128,0.0102766798418972,0.9308300395256917,0.0083003952569169,0.050592885375494,2688.0,36,2581,25,46,0.0133928571428571,0.9601934523809524,0.0093005952380952,0.0171130952380952
26060,2826.0,19,1393,26,1388,0.0067232837933474,0.4929228591648973,0.0092002830856334,0.4911535739561217,2883.0,20,2254,22,587,0.0069372181755116,0.7818244883801596,0.0076309399930627,0.203607353451266,2790.0,26,2480,20,264,0.0093189964157706,0.8888888888888888,0.007168458781362,0.0946236559139784,2805.0,16,2616,25,148,0.0057040998217468,0.932620320855615,0.0089126559714795,0.0527629233511586,2786.0,22,2687,30,47,0.0078966259870782,0.964465183058148,0.0107681263460157,0.016870064608758
26270,3206.0,23,1572,24,1587,0.0071740486587648,0.4903306300686213,0.0074859638178415,0.4950093574547723,3165.0,30,2440,24,671,0.0094786729857819,0.7709320695102686,0.0075829383886255,0.2120063191153238,3238.0,34,2850,19,335,0.0105003088326127,0.8801729462631254,0.0058678196417541,0.1034589252625077,3181.0,23,2972,39,147,0.0072304306821754,0.9342973907576234,0.0122602955045583,0.0462118830556428,3148.0,28,3034,21,65,0.0088945362134688,0.9637865311308768,0.0066709021601016,0.0206480304955527
26577,3323.0,30,1493,1772,28,0.0090279867589527,0.449292807703882,0.5332530845621426,0.0084261209750225,3142.0,23,2388,713,18,0.0073201782304264,0.7600254614894971,0.2269255251432208,0.0057288351368555,2976.0,21,2610,327,18,0.0070564516129032,0.8770161290322581,0.1098790322580645,0.0060483870967741,3049.0,29,2824,178,18,0.0095113151853066,0.9262053132174484,0.0583797966546408,0.0059035749426041,2958.0,19,2852,64,23,0.0064232589587559,0.9641649763353616,0.0216362407031778,0.0077755240027045
26709,2950.0,1697,23,1208,22,0.5752542372881356,0.0077966101694915,0.4094915254237288,0.007457627118644,2648.0,644,21,1963,20,0.243202416918429,0.0079305135951661,0.7413141993957704,0.0075528700906344,2526.0,340,20,2147,19,0.1346001583531274,0.0079176563737133,0.8499604117181314,0.0075217735550277,2491.0,160,19,2295,17,0.0642312324367723,0.0076274588518667,0.9213167402649538,0.006824568446407,2459.0,46,24,2366,23,0.0187067913786091,0.0097600650671004,0.9621797478649856,0.0093533956893045
26767,3100.0,20,1245,15,1820,0.0064516129032258,0.4016129032258064,0.0048387096774193,0.5870967741935483,2730.0,27,1962,24,717,0.0098901098901098,0.7186813186813187,0.0087912087912087,0.2626373626373626,2602.0,24,2199,27,352,0.0092236740968485,0.8451191391237509,0.0103766333589546,0.1352805534204458,2581.0,21,2383,16,161,0.0081363812475784,0.9232855482371174,0.0061991476172026,0.0623789228981015,2545.0,29,2434,21,61,0.0113948919449901,0.956385068762279,0.0082514734774066,0.0239685658153241
26858,3024.0,24,1162,26,1812,0.0079365079365079,0.3842592592592592,0.0085978835978835,0.5992063492063492,2567.0,20,1796,17,734,0.0077911959485781,0.699649396182314,0.0066225165562913,0.2859368913128165,2564.0,13,2158,18,375,0.0050702028081123,0.8416536661466458,0.0070202808112324,0.1462558502340093,2381.0,16,2191,20,154,0.0067198656026879,0.9202015959680806,0.0083998320033599,0.0646787064258714,2362.0,18,2271,16,57,0.0076206604572396,0.9614733276883995,0.0067739204064352,0.0241320914479254
27259,2302.0,509,1762,17,14,0.2211120764552563,0.7654213727193745,0.0073848827106863,0.0060816681146828,1449.0,735,685,10,19,0.5072463768115942,0.4727398205659075,0.0069013112491373,0.0131124913733609,1199.0,816,344,12,27,0.6805671392827356,0.286905754795663,0.0100083402835696,0.0225187656380316,1133.0,939,172,7,15,0.8287731685789939,0.1518093556928508,0.0061782877316857,0.0132391879964695,997.0,928,47,13,9,0.9307923771313942,0.0471414242728184,0.0130391173520561,0.0090270812437311
27807,1720.0,11,17,18,1674,0.0063953488372093,0.0098837209302325,0.0104651162790697,0.9732558139534884,666.0,5,8,10,643,0.0075075075075075,0.012012012012012,0.015015015015015,0.9654654654654654,305.0,2,2,1,300,0.0065573770491803,0.0065573770491803,0.0032786885245901,0.9836065573770492,160.0,1,1,0,158,0.00625,0.00625,0.0,0.9875,37.0,0,1,0,36,0.0,0.027027027027027,0.0,0.972972972972973
27874,1925.0,17,1533,21,354,0.0088311688311688,0.7963636363636364,0.0109090909090909,0.1838961038961039,1190.0,11,597,15,567,0.0092436974789915,0.5016806722689076,0.0126050420168067,0.4764705882352941,933.0,6,264,7,656,0.0064308681672025,0.2829581993569132,0.007502679528403,0.7031082529474812,866.0,13,142,4,707,0.0150115473441108,0.1639722863741339,0.0046189376443418,0.8163972286374134,798.0,6,36,5,751,0.0075187969924812,0.0451127819548872,0.006265664160401,0.9411027568922306
28271,1252.0,16,7,9,1220,0.0127795527156549,0.005591054313099,0.0071884984025559,0.97444089456869,555.0,10,6,4,535,0.018018018018018,0.0108108108108108,0.0072072072072072,0.963963963963964,272.0,11,6,3,252,0.0404411764705882,0.0220588235294117,0.0110294117647058,0.9264705882352942,107.0,11,2,1,93,0.102803738317757,0.0186915887850467,0.0093457943925233,0.8691588785046729,42.0,13,0,0,29,0.3095238095238095,0.0,0.0,0.6904761904761905
28311,1278.0,14,37,13,1214,0.0109546165884194,0.0289514866979655,0.0101721439749608,0.9499217527386542,547.0,5,33,5,504,0.0091407678244972,0.0603290676416819,0.0091407678244972,0.9213893967093236,287.0,2,47,0,238,0.0069686411149825,0.1637630662020905,0.0,0.8292682926829268,144.0,1,43,0,100,0.0069444444444444,0.2986111111111111,0.0,0.6944444444444444,66.0,0,42,0,24,0.0,0.6363636363636364,0.0,0.3636363636363636
28461,1252.0,991,8,247,6,0.7915335463258786,0.0063897763578274,0.1972843450479233,0.0047923322683706,802.0,391,6,400,5,0.4875311720698254,0.0074812967581047,0.4987531172069825,0.0062344139650872,618.0,181,2,433,2,0.2928802588996764,0.0032362459546925,0.7006472491909385,0.0032362459546925,549.0,87,1,461,0,0.1584699453551912,0.0018214936247723,0.8397085610200364,0.0,485.0,21,1,463,0,0.0432989690721649,0.002061855670103,0.954639175257732,0.0
28881,584.0,574,0,6,4,0.9828767123287672,0.0,0.0102739726027397,0.0068493150684931,224.0,218,1,2,3,0.9732142857142856,0.0044642857142857,0.0089285714285714,0.0133928571428571,110.0,104,0,2,4,0.9454545454545454,0.0,0.0181818181818181,0.0363636363636363,30.0,28,0,1,1,0.9333333333333332,0.0,0.0333333333333333,0.0333333333333333,13.0,9,0,0,4,0.6923076923076923,0.0,0.0,0.3076923076923077
28882,577.0,566,2,5,4,0.9809358752166378,0.0034662045060658,0.0086655112651646,0.0069324090121317,222.0,218,1,1,2,0.981981981981982,0.0045045045045045,0.0045045045045045,0.009009009009009,108.0,104,0,3,1,0.9629629629629628,0.0,0.0277777777777777,0.0092592592592592,31.0,27,1,3,0,0.8709677419354839,0.032258064516129,0.0967741935483871,0.0,12.0,9,0,3,0,0.75,0.0,0.25,0.0
28883,580.0,2,574,2,2,0.0034482758620689,0.9896551724137932,0.0034482758620689,0.0034482758620689,222.0,1,215,2,4,0.0045045045045045,0.9684684684684683,0.009009009009009,0.018018018018018,111.0,2,105,4,0,0.018018018018018,0.945945945945946,0.036036036036036,0.0,30.0,0,29,1,0,0.0,0.9666666666666668,0.0333333333333333,0.0,9.0,0,9,0,0,0.0,1.0,0.0,0.0
28916,731.0,3,5,703,20,0.0041039671682626,0.0068399452804377,0.9616963064295484,0.027359781121751,290.0,1,1,266,22,0.0034482758620689,0.0034482758620689,0.9172413793103448,0.0758620689655172,154.0,2,2,135,15,0.0129870129870129,0.0129870129870129,0.8766233766233766,0.0974025974025974,55.0,0,0,44,11,0.0,0.0,0.8,0.2,25.0,1,0,10,14,0.04,0.0,0.4,0.56
29510,180.0,4,171,3,2,0.0222222222222222,0.95,0.0166666666666666,0.0111111111111111,64.0,1,63,0,0,0.015625,0.984375,0.0,0.0,38.0,1,35,2,0,0.0263157894736842,0.9210526315789472,0.0526315789473684,0.0,15.0,0,15,0,0,0.0,1.0,0.0,0.0,4.0,0,4,0,0,0.0,1.0,0.0,0.0
29684,36.0,31,1,3,1,0.8611111111111112,0.0277777777777777,0.0833333333333333,0.0277777777777777,11.0,11,0,0,0,1.0,0.0,0.0,0.0,9.0,8,1,0,0,0.8888888888888888,0.1111111111111111,0.0,0.0,4.0,4,0,0,0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,0.0,0.0,0.0,1.0
